מקט,שם המוצר,מותג,קטגוריה,מתאים ל,גודל,מחיר,כמות במלאי,ימי אספקה
RM-101,חדר דלוקס קלאסי,Hotel Wizard,חדרים,זוגות / יחיד,32 מ"ר,850,45,מיידי
RM-102,חדר פרימיום עם מרפסת ונוף פנורמי,Hotel Wizard,חדרים,זוגות,38 מ"ר,1050,30,מיידי
RM-103,חדר משפחתי סופריור מחובר,Hotel Wizard,חדרים,משפחות עם 2-3 ילדים,55 מ"ר,1450,20,מיידי
RM-104,סוויטת ג'וניור מנהלים כוללת טרקלין,Hotel Wizard,סוויטות,אנשי עסקים וזוגות,48 מ"ר,1700,15,מיידי
RM-105,סוויטה נשיאותית פנטהאוז כולל ג'קוזי,Hotel Wizard,סוויטות,VIP ואירועים מיוחדים,110 מ"ר,3800,2,מיידי
SPA-201,עיסוי שוודי קלאסי 60 דקות,Wizard Spa,ספא,כל האורחים,60 דקות,380,12,מיידי
SPA-202,עיסוי רקמות עמוק משחרר 75 דקות,Wizard Spa,ספא,ספורטאים ומתח שרירים,75 דקות,460,8,מיידי
SPA-203,חבילת ספא זוגית פרימיום כולל יין וסאונה,Wizard Spa,ספא,זוגות,90 דקות,850,5,מיידי
SPA-204,טיפול פנים זוהר יוקרתי,Wizard Spa,ספא,טיפוח פנים,60 דקות,420,6,מיידי
DIN-301,ארוחת בוקר בופה עשירה במסעדת המלון,Grand Wizard,קולינריה,אורחי חוץ ואורחים נוספים,לאדם,120,50,מיידי
DIN-302,ארוחת ערב שף חגיגית במסעדת השף,La Plaza,קולינריה,חובבי גורמה וזוגות,לאדם,280,30,מיידי
PKG-401,חבילת רומנטיקה לחדר (יין בוטיק שוקולדים ופרחים),Hotel Wizard,תוספות לחדר,זוגות וירח דבש,חבילה,250,25,מיידי
PKG-402,כניסה יומית לטרקלין עסקים Skyline Lounge,Hotel Wizard,שירותים,אורחי המלון,ליום,180,20,מיידי
PKG-403,עזיבה מאוחרת Late Check-out עד 16:00,Hotel Wizard,שירותים,נופשים,לחדר,200,10,מיידי
PKG-404,הסעת VIP פרטית מ/אל נמל התעופה,Hotel Wizard,תחבורה,עד 4 נוסעים,לכיוון,320,8,מיידי
